TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_REG;DT_CONST;DT_CANCEL;SIT;DT_INI_SIT;DT_INI_EXERC;DT_FIM_EXERC
F.I.I.;16.995.046/0001-28;TEXAS FUNDO DE INVESTIMENTO IMOBILIÁRIO;2013-12-03;2012-09-27;2014-06-02;CANCELADA;2014-06-02;;
F.I.I.;30.871.683/0001-13;TG RL - FUNDO DE INVESTIMENTO IMOBILIARIO;2018-08-17;2018-06-14;;FASE PRÉ-OPERACIONAL;2018-08-17;;
F.I.I.;27.212.823/0001-37;TMJ FUNDO DE INVESTIMENTO IMOBILIARIO;2017-05-12;2017-01-30;;EM FUNCIONAMENTO NORMAL;2017-06-20;2020-01-01;2020-12-31
F.I.I.;31.713.990/0001-39;TOLLOG FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2018-12-18;2018-12-05;;EM FUNCIONAMENTO NORMAL;2019-02-13;2019-07-01;2020-06-30
F.I.I.;29.018.899/0001-51;TOP CENTER II FUNDO DE INVESTIMENTO IMOBILIÁRIO;2018-01-10;2017-05-22;;EM FUNCIONAMENTO NORMAL;2018-01-24;2020-01-01;2020-12-31
F.I.I.;30.230.870/0001-18;TORDESILHAS EI FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-08-28;2018-03-08;;EM FUNCIONAMENTO NORMAL;2019-08-30;2020-01-01;2020-12-31
F.I.I.;12.810.070/0001-94;TP CORPORATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2011-02-23;;2013-04-01;CANCELADA;2013-04-01;;
F.I.I.;27.539.754/0001-70;Trade Invest Care I Fundo de Investimento Imobiliário - FII;2017-08-03;2017-03-13;;FASE PRÉ-OPERACIONAL;2017-08-03;;
F.I.I.;27.539.651/0001-00;TRADE INVEST CARE II FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-08-01;2017-03-13;;FASE PRÉ-OPERACIONAL;2017-08-01;;
F.I.I.;29.242.844/0001-20;TRANCOSO - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-11-28;2017-11-21;;EM FUNCIONAMENTO NORMAL;2019-12-03;2020-01-01;2020-12-31
F.I.I.;17.007.443/0001-07;TRANSINC FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2013-08-05;2012-09-18;;EM FUNCIONAMENTO NORMAL;2013-08-05;2019-07-01;2020-06-30
F.I.I.;26.990.011/0001-50;TREECORP REAL ESTATE FII - I;2017-03-03;2017-01-17;;EM FUNCIONAMENTO NORMAL;2017-05-10;2020-01-01;2020-12-31
F.I.I.;13.703.596/0001-38;TREVISO - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2012-07-01;2011-05-19;;EM FUNCIONAMENTO NORMAL;2012-07-01;2020-01-01;2020-12-31
F.I.I.;15.006.267/0001-63;TRX EDIFICIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2012-11-08;2012-01-27;;EM FUNCIONAMENTO NORMAL;2012-11-08;2020-01-01;2020-12-31
F.I.I.;28.548.288/0001-52;TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2017-09-01;2017-08-21;;EM FUNCIONAMENTO NORMAL;2019-10-15;2020-01-01;2020-12-31
F.I.I.;36.368.925/0001-37;TRX REAL ESTATE II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2020-03-06;2020-02-05;;EM FUNCIONAMENTO NORMAL;2020-03-16;2020-03-16;2020-12-31
F.I.I.;21.642.282/0001-09;TS PART FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2018-01-11;2014-12-22;2020-03-16;CANCELADA;2020-03-16;2020-01-01;2020-12-31
F.I.I.;15.592.630/0001-70;URBANIZAÇÃO I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2012-12-05;2012-05-10;2015-11-17;CANCELADA;2015-11-17;2019-01-01;2019-12-31
F.I.I.;34.508.872/0001-87;URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-12-03;2019-07-18;;EM FUNCIONAMENTO NORMAL;2019-12-10;2020-01-01;2020-12-31
F.I.I.;29.324.723/0001-28;V2 RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2018-11-12;2018-11-09;2019-09-10;CANCELADA;2019-09-10;;
F.I.I.;34.197.811/0001-46;VALORA CRI ÍNDICE DE PREÇO FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2020-01-03;2020-01-02;;EM FUNCIONAMENTO NORMAL;2020-03-18;2020-03-18;2020-06-30
F.I.I.;28.090.655/0001-17;VALORA RE I FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2017-08-01;2017-06-20;;EM FUNCIONAMENTO NORMAL;2017-08-08;2020-01-01;2020-12-31
F.I.I.;29.852.732/0001-91;VALORA RE III FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2018-03-13;2018-03-02;;EM FUNCIONAMENTO NORMAL;2018-07-27;2019-07-01;2020-06-30
F.I.I.;32.186.230/0001-83;VAM FUNDO DE INVESTIMENTO IMOBILIÁRIO;2018-12-10;2018-11-29;;EM FUNCIONAMENTO NORMAL;2018-12-10;2019-07-01;2020-06-30
F.I.I.;17.655.122/0001-19;VANQUISH FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2013-05-28;2013-02-14;;EM FUNCIONAMENTO NORMAL;2013-05-28;2020-01-01;2020-12-31
F.I.I.;35.507.457/0001-71;VBI REITS FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-11-26;2019-10-31;;EM FUNCIONAMENTO NORMAL;2020-02-04;2020-02-04;2020-12-31
F.I.I.;30.871.660/0001-09;VBI ULIVING FUNDO DE INVESTIMENTO IMOBILIÁRIO;2018-07-18;2018-06-14;;EM FUNCIONAMENTO NORMAL;2018-11-30;2020-01-01;2020-12-31
